age,education,default,balance,housing,loan,contact,day,month,campaign,previous,poutcome,y
28,secondary,no,154,yes,no,cellular,15,may,1,1,other,yes
73,primary,no,796,no,no,cellular,23,oct,1,2,failure,yes
51,tertiary,no,1347,yes,yes,cellular,10,feb,1,1,failure,yes
51,secondary,no,6840,no,no,telephone,7,jul,1,0,other,yes
47,secondary,no,2232,no,no,cellular,27,may,1,1,success,yes
45,tertiary,no,406,no,no,cellular,7,sep,1,0,other,yes
41,tertiary,no,1517,no,no,cellular,8,aug,3,0,other,yes
38,secondary,no,19,yes,no,cellular,5,feb,3,2,success,yes
23,secondary,no,922,no,no,cellular,28,may,2,9,failure,yes
35,secondary,no,719,yes,no,cellular,18,may,3,3,failure,yes
69,tertiary,no,473,no,no,cellular,21,oct,1,2,failure,no
28,tertiary,no,313,no,yes,cellular,23,sep,1,6,failure,no
64,secondary,no,588,no,no,cellular,16,jul,1,3,success,yes
48,secondary,no,2054,yes,no,cellular,6,aug,2,0,other,no
25,secondary,no,-107,yes,no,cellular,14,may,1,0,other,no
43,secondary,no,372,yes,yes,cellular,4,feb,2,2,failure,no
38,tertiary,no,-3,no,no,cellular,20,nov,2,3,failure,no
48,secondary,yes,0,yes,yes,cellular,7,may,1,0,other,no
59,secondary,no,1035,yes,yes,cellular,1,apr,2,1,failure,no
65,primary,no,1004,no,no,cellular,28,oct,1,0,other,yes
31,tertiary,no,1570,yes,no,cellular,8,mar,4,1,failure,yes
34,tertiary,no,4254,yes,no,cellular,21,nov,1,0,other,yes
37,secondary,no,430,no,no,cellular,27,aug,4,0,other,no
48,secondary,no,513,no,yes,cellular,28,jul,3,0,other,yes
33,tertiary,no,3552,no,no,cellular,13,feb,2,3,failure,yes
31,tertiary,no,328,yes,no,cellular,20,nov,1,0,other,no
33,secondary,no,0,yes,yes,cellular,19,nov,2,0,other,no
42,tertiary,no,251,no,no,cellular,20,aug,2,0,other,no
33,secondary,no,303,yes,no,cellular,3,feb,1,5,success,yes
41,tertiary,no,-94,yes,no,cellular,4,feb,1,1,failure,yes
41,secondary,no,115,yes,yes,cellular,19,nov,2,0,other,no
32,secondary,no,1785,yes,no,cellular,18,nov,2,6,other,no
36,secondary,no,871,no,no,cellular,12,aug,3,0,other,yes
51,tertiary,no,307,no,no,cellular,21,aug,6,0,other,no
41,secondary,no,6046,yes,yes,telephone,15,mar,6,2,success,yes
46,tertiary,no,233,yes,yes,cellular,14,may,4,0,other,no
34,tertiary,no,7263,yes,no,telephone,6,apr,1,0,other,no
42,tertiary,no,144,no,no,cellular,4,mar,1,4,failure,yes
35,tertiary,no,62,no,no,cellular,7,may,2,4,success,yes
30,secondary,no,289,yes,no,cellular,14,aug,4,0,other,yes
27,secondary,no,439,yes,no,cellular,15,apr,2,0,other,yes
31,tertiary,no,12569,no,no,cellular,9,sep,1,1,failure,yes
38,tertiary,no,1477,no,no,cellular,15,sep,3,2,failure,yes
57,secondary,no,334,yes,no,cellular,10,jul,1,0,other,no
59,primary,no,3648,no,no,telephone,23,oct,2,3,success,yes
39,secondary,no,902,yes,no,cellular,10,feb,2,5,failure,yes
38,secondary,no,593,yes,no,cellular,17,apr,2,0,other,no
59,secondary,no,5845,no,no,cellular,14,may,2,0,other,yes
38,secondary,no,775,no,no,cellular,12,feb,3,2,success,yes
45,tertiary,no,-525,no,yes,cellular,21,nov,2,0,other,yes
41,secondary,yes,1085,yes,yes,cellular,7,jul,1,0,other,yes
41,primary,no,2562,yes,no,cellular,20,nov,1,4,failure,no
28,secondary,no,0,yes,yes,cellular,18,may,5,0,other,yes
28,unknown,no,2736,no,no,cellular,8,jul,1,0,other,yes
29,secondary,no,265,yes,no,cellular,25,nov,1,1,failure,yes
63,secondary,no,2896,no,no,cellular,1,jul,1,2,success,yes
60,tertiary,no,2281,no,no,cellular,5,feb,2,0,other,yes
56,secondary,no,3450,no,no,cellular,10,aug,1,2,success,yes
40,tertiary,no,0,no,no,cellular,10,nov,1,8,success,yes
41,secondary,no,-109,yes,yes,cellular,11,may,1,1,failure,yes
46,secondary,yes,-319,no,yes,cellular,10,jul,2,0,other,no
19,primary,no,1247,no,no,cellular,23,apr,1,0,other,no
47,secondary,no,3676,no,no,cellular,18,oct,1,3,success,yes
33,tertiary,no,196,yes,no,cellular,18,nov,1,0,other,no
60,secondary,no,11,no,no,cellular,29,jun,1,2,failure,yes
41,secondary,no,1077,yes,yes,telephone,9,dec,3,2,failure,yes
38,secondary,no,755,yes,no,cellular,25,may,1,1,success,no
27,secondary,no,3792,no,no,cellular,22,oct,1,2,success,yes
36,secondary,no,0,yes,no,cellular,17,nov,2,1,failure,no
45,secondary,no,814,no,no,cellular,1,sep,2,0,other,no
32,secondary,no,28,yes,no,cellular,18,nov,1,0,other,no
62,secondary,no,180,no,no,cellular,14,jan,1,4,other,yes
60,secondary,no,106,no,no,cellular,21,aug,3,1,success,yes
76,primary,no,1492,no,no,telephone,3,nov,1,0,other,yes
31,tertiary,no,596,no,no,cellular,12,aug,4,0,other,no
48,primary,no,606,no,no,cellular,7,sep,3,6,failure,no
39,tertiary,no,307,no,no,cellular,22,may,2,0,other,yes
27,secondary,no,451,yes,no,cellular,16,jul,1,0,other,yes
35,secondary,no,103,yes,no,cellular,21,jul,1,0,other,no
32,secondary,no,2597,yes,no,cellular,15,may,1,1,failure,no
32,tertiary,no,440,no,no,cellular,5,aug,3,0,other,no
33,tertiary,no,4,yes,yes,cellular,24,jul,1,0,other,no
31,tertiary,no,147,no,no,cellular,9,mar,1,2,success,yes
62,tertiary,no,3371,no,no,cellular,25,mar,1,2,success,yes
36,tertiary,no,1354,no,no,cellular,7,sep,3,2,success,yes
31,secondary,no,640,yes,no,cellular,14,may,2,0,other,no
39,secondary,no,523,yes,no,cellular,14,may,1,0,other,no
31,tertiary,no,3343,no,no,cellular,3,sep,1,1,success,yes
41,secondary,no,2498,no,no,cellular,12,aug,1,0,other,yes
34,tertiary,no,0,no,no,cellular,18,aug,1,2,failure,yes
44,secondary,no,8,no,no,cellular,26,jul,4,0,other,yes
53,tertiary,no,2228,no,no,cellular,17,nov,1,0,other,yes
35,secondary,no,49,no,no,cellular,30,jan,1,0,other,no
33,secondary,no,1697,no,no,cellular,3,nov,1,0,other,yes
23,secondary,no,598,no,no,cellular,11,nov,1,1,failure,yes
72,secondary,no,1978,no,no,cellular,6,sep,1,0,other,yes
41,tertiary,no,3426,no,no,cellular,4,jun,2,3,failure,yes
53,tertiary,no,451,yes,no,cellular,2,feb,1,2,failure,no
32,tertiary,no,522,no,no,cellular,22,aug,2,0,other,yes
37,secondary,no,4803,no,no,cellular,15,jan,2,0,other,yes
31,tertiary,no,94,no,no,cellular,22,aug,2,0,other,yes
37,tertiary,no,21,yes,no,cellular,5,feb,2,2,failure,no
25,secondary,no,2354,no,no,cellular,5,feb,7,0,other,yes
30,secondary,yes,-366,yes,no,cellular,18,jul,1,0,other,yes
31,tertiary,no,3142,yes,no,cellular,18,nov,1,1,failure,no
62,tertiary,no,0,no,no,cellular,13,nov,2,0,other,yes
27,secondary,no,-34,no,yes,cellular,21,jul,2,0,other,no
59,secondary,no,145,yes,no,telephone,12,may,2,13,success,yes
53,primary,no,1138,yes,no,cellular,6,aug,2,0,other,no
45,primary,no,0,yes,no,cellular,13,may,3,0,other,no
52,secondary,no,955,no,yes,cellular,17,jun,2,4,success,yes
23,secondary,no,272,no,no,cellular,14,aug,2,0,other,yes
38,secondary,no,3840,yes,yes,cellular,17,nov,1,0,other,no
34,secondary,no,2048,yes,no,cellular,19,nov,2,0,other,no
49,secondary,no,823,no,no,cellular,8,aug,4,0,other,yes
33,primary,no,5,yes,no,cellular,17,apr,2,0,other,yes
41,secondary,no,663,no,no,cellular,24,jul,1,0,other,yes
30,secondary,no,800,no,no,telephone,28,jan,2,0,other,no
33,tertiary,no,2604,no,no,cellular,8,aug,2,0,other,no
37,secondary,no,1458,no,no,cellular,30,apr,1,0,other,yes
32,tertiary,no,2976,yes,no,cellular,5,feb,1,5,failure,yes
30,tertiary,no,46,no,no,cellular,13,aug,3,0,other,no
35,tertiary,no,5007,yes,no,cellular,11,nov,1,3,failure,no
33,tertiary,no,801,no,no,cellular,19,aug,4,0,other,no
32,secondary,no,540,yes,no,cellular,21,nov,2,0,other,no
81,unknown,no,0,no,no,telephone,16,oct,1,0,other,no
55,primary,no,3485,no,no,cellular,18,aug,4,0,other,yes
27,secondary,no,843,no,no,cellular,8,jan,1,0,other,yes
44,primary,no,36,yes,no,cellular,15,may,1,2,failure,yes
37,secondary,no,1655,yes,no,cellular,12,may,1,2,failure,no
51,tertiary,no,6503,no,no,telephone,21,nov,5,0,other,no
26,secondary,no,1200,no,no,cellular,29,jan,3,0,other,no
30,tertiary,no,1159,no,no,telephone,5,jun,1,0,other,yes
32,tertiary,no,376,yes,no,cellular,23,mar,4,0,other,yes
42,secondary,no,444,no,no,cellular,21,nov,1,0,other,no
41,tertiary,no,1646,yes,no,cellular,5,may,1,7,success,yes
26,secondary,no,223,no,yes,cellular,21,jul,3,0,other,yes
45,secondary,no,194,no,no,cellular,31,jul,4,0,other,no
48,primary,no,214,yes,yes,cellular,14,may,1,2,failure,yes
25,secondary,no,285,no,no,cellular,3,jul,3,0,other,yes
39,secondary,no,112,no,no,cellular,16,sep,3,0,other,yes
25,secondary,no,8,no,no,cellular,22,apr,2,0,other,yes
63,primary,no,333,no,no,telephone,1,oct,1,0,other,no
55,secondary,no,1785,no,no,cellular,11,aug,3,0,other,no
35,tertiary,no,76,no,no,cellular,5,may,1,9,failure,no
31,tertiary,no,2137,no,no,cellular,6,feb,1,0,other,no
34,secondary,no,151,yes,no,cellular,12,may,1,1,other,yes
41,secondary,yes,0,yes,no,cellular,17,nov,1,0,other,yes
31,tertiary,yes,-282,yes,no,cellular,20,nov,3,0,other,no
22,unknown,no,1215,no,no,cellular,19,feb,3,1,failure,yes
30,secondary,no,246,yes,no,cellular,18,nov,2,5,failure,no
32,tertiary,no,7743,no,no,cellular,20,aug,3,0,other,no
27,tertiary,no,616,yes,no,cellular,22,may,1,1,other,yes
29,tertiary,no,2389,no,no,cellular,4,jun,3,0,other,no
36,secondary,no,3,yes,no,cellular,18,may,8,0,other,no
43,tertiary,no,0,no,no,cellular,18,oct,1,2,success,yes
32,tertiary,no,272,yes,no,cellular,7,oct,2,0,other,no
30,unknown,no,4,yes,no,cellular,29,jul,21,0,other,no
32,tertiary,no,1781,no,no,cellular,8,apr,1,0,other,yes
85,primary,no,1255,no,no,cellular,15,jan,3,0,other,yes
58,primary,no,358,no,no,cellular,21,aug,2,0,other,no
47,primary,no,1374,no,yes,telephone,8,may,2,3,failure,yes
58,tertiary,no,246,yes,no,cellular,7,may,2,2,failure,no
42,tertiary,no,1275,yes,yes,cellular,21,nov,5,0,other,yes
28,secondary,no,1595,no,no,cellular,9,sep,1,4,success,yes
48,primary,no,1375,yes,yes,cellular,21,nov,1,2,failure,no
77,tertiary,no,0,no,no,cellular,17,aug,1,0,other,yes
47,tertiary,no,0,no,no,cellular,4,aug,1,0,other,no
29,unknown,no,2929,no,no,cellular,5,may,1,4,other,yes
43,secondary,no,64,yes,no,cellular,14,aug,2,0,other,no
53,primary,no,255,yes,no,cellular,4,feb,2,2,failure,no
46,secondary,no,111,no,no,cellular,13,aug,2,0,other,no
49,tertiary,no,1807,yes,no,cellular,12,mar,1,0,other,yes
42,secondary,no,705,yes,no,cellular,17,apr,2,0,other,no
50,tertiary,no,3211,yes,no,cellular,6,aug,5,0,other,no
55,tertiary,no,-375,no,no,cellular,30,jul,2,0,other,yes
32,tertiary,no,3387,yes,no,cellular,15,may,5,0,other,yes
22,primary,no,423,no,no,cellular,16,jul,1,10,success,yes
69,secondary,no,0,no,no,cellular,28,apr,2,2,other,yes
32,tertiary,no,665,yes,no,cellular,21,nov,5,0,other,no
32,secondary,no,944,no,no,cellular,13,may,2,1,other,no
31,secondary,yes,25,no,no,cellular,2,feb,1,0,other,no
56,tertiary,no,1390,yes,no,cellular,18,nov,1,0,other,yes
59,secondary,no,2166,yes,yes,cellular,7,may,1,0,other,yes
52,primary,no,314,yes,no,cellular,4,feb,2,0,other,no
57,tertiary,no,10583,no,no,cellular,22,jun,3,0,other,yes
35,secondary,no,2468,yes,no,cellular,6,may,8,0,other,no
25,secondary,no,1857,yes,no,cellular,13,apr,4,6,success,yes
39,secondary,no,1104,no,no,cellular,7,aug,2,0,other,yes
67,tertiary,no,2841,no,no,cellular,2,feb,1,0,other,no
72,primary,no,2321,no,no,cellular,12,jul,6,6,other,no
36,tertiary,no,753,no,no,cellular,26,may,5,4,failure,no
47,tertiary,no,3663,no,no,cellular,29,oct,2,3,success,yes
42,secondary,no,257,yes,no,cellular,12,may,2,0,other,yes
44,secondary,no,2340,no,no,cellular,29,jul,3,0,other,no
54,secondary,no,2203,yes,no,telephone,18,nov,1,0,other,no
37,primary,no,1506,no,no,cellular,2,nov,3,3,success,no
35,tertiary,no,415,no,no,cellular,4,may,2,2,success,yes
31,tertiary,no,2,no,no,cellular,8,aug,1,0,other,yes
67,unknown,no,2540,no,no,telephone,14,jun,5,4,other,yes
31,tertiary,no,363,no,no,cellular,13,aug,2,0,other,no
23,secondary,no,279,yes,no,cellular,18,may,1,1,failure,yes
28,secondary,no,261,yes,yes,cellular,30,jul,7,9,success,no
29,secondary,no,7863,yes,no,cellular,14,may,1,0,other,yes
56,secondary,no,0,no,yes,cellular,16,jul,2,0,other,no
39,secondary,no,728,yes,yes,cellular,18,oct,1,0,other,yes
52,tertiary,no,2557,no,no,cellular,28,jan,5,2,success,yes
39,secondary,no,626,yes,no,cellular,11,may,2,0,other,no
31,secondary,no,4105,no,no,cellular,30,apr,1,0,other,no
34,secondary,no,182,no,no,cellular,6,aug,2,0,other,yes
20,unknown,no,829,no,no,cellular,9,jul,2,0,other,yes
36,secondary,no,319,yes,no,cellular,29,jan,1,1,failure,no
26,tertiary,no,0,no,no,cellular,7,aug,1,0,other,no
50,tertiary,no,2313,no,no,cellular,5,aug,1,0,other,yes
38,unknown,no,488,yes,no,cellular,8,may,6,0,other,no
35,secondary,no,16,yes,no,cellular,8,apr,1,0,other,yes
60,tertiary,no,0,no,no,cellular,7,aug,3,0,other,yes
31,secondary,no,388,no,no,cellular,21,aug,2,0,other,no
40,secondary,no,4,yes,yes,cellular,4,aug,3,0,other,no
40,secondary,no,473,yes,no,cellular,28,jul,3,0,other,yes
37,secondary,no,432,yes,no,cellular,6,jul,3,55,failure,yes
60,tertiary,no,4256,yes,no,cellular,16,aug,3,1,other,yes
25,tertiary,no,316,no,no,cellular,27,mar,2,0,other,yes
29,secondary,no,1165,no,no,cellular,2,jun,1,0,other,yes
56,primary,no,9367,no,no,telephone,13,nov,2,4,success,yes
46,secondary,no,44,no,no,cellular,6,aug,2,0,other,no
35,tertiary,no,2427,no,no,cellular,12,jul,3,7,other,yes
42,tertiary,no,-556,yes,yes,cellular,8,may,3,3,failure,yes
37,secondary,no,1762,no,no,cellular,16,apr,2,0,other,yes
29,secondary,no,260,yes,no,cellular,4,feb,2,2,failure,no
29,tertiary,no,218,yes,no,cellular,12,apr,1,0,other,no
28,tertiary,no,1984,yes,no,cellular,4,may,2,1,failure,no
26,primary,no,205,no,no,cellular,29,jan,1,0,other,no
45,secondary,no,72,yes,yes,cellular,15,may,2,2,failure,no
42,tertiary,no,757,no,no,cellular,30,apr,1,1,success,yes
31,tertiary,no,7005,no,no,cellular,26,aug,4,0,other,no
47,secondary,no,817,no,no,cellular,7,apr,4,0,other,yes
32,tertiary,no,2481,no,no,cellular,18,aug,11,0,other,no
44,tertiary,no,2033,no,no,cellular,3,sep,1,1,failure,yes
53,tertiary,no,1624,no,no,cellular,11,nov,3,7,success,yes
32,secondary,no,1539,yes,no,cellular,13,apr,3,0,other,no
24,tertiary,no,393,no,no,cellular,27,sep,1,0,other,yes
46,unknown,no,3308,no,no,cellular,27,oct,1,2,success,yes
30,tertiary,no,944,no,no,cellular,29,oct,2,0,other,yes
42,primary,no,402,no,no,cellular,13,may,7,17,failure,no
35,tertiary,no,994,no,no,cellular,30,apr,1,2,failure,yes
27,secondary,no,195,yes,no,cellular,25,feb,3,0,other,yes
67,tertiary,no,1341,no,no,cellular,13,feb,1,0,other,yes
58,unknown,no,0,no,no,cellular,11,aug,2,0,other,no
32,secondary,no,782,yes,no,cellular,17,apr,1,0,other,no
34,tertiary,no,425,no,no,cellular,3,feb,2,0,other,no
34,tertiary,no,158,no,no,cellular,9,jun,1,9,success,yes
35,primary,no,483,no,no,cellular,3,feb,1,0,other,no
27,tertiary,no,151,yes,no,cellular,16,jul,1,0,other,yes
27,tertiary,no,1840,no,no,cellular,1,jun,1,8,other,yes
50,tertiary,no,8205,yes,no,telephone,25,oct,3,1,other,no
65,primary,no,1760,no,no,cellular,18,aug,4,0,other,yes
41,tertiary,no,1,yes,no,telephone,18,may,2,3,failure,yes
30,tertiary,no,2539,no,no,telephone,5,mar,5,0,other,yes
32,tertiary,no,2343,no,no,cellular,18,jul,1,0,other,no
67,tertiary,no,405,no,no,cellular,10,nov,2,2,success,yes
53,primary,no,5603,no,no,cellular,28,aug,6,0,other,yes
32,secondary,no,613,yes,no,cellular,2,feb,1,0,other,no
43,secondary,no,107,yes,yes,telephone,28,oct,1,0,other,yes
28,secondary,no,524,yes,no,cellular,6,may,2,0,other,yes
20,secondary,no,162,no,no,cellular,25,may,2,0,other,no
35,tertiary,no,1750,yes,no,cellular,30,apr,1,3,success,yes
58,secondary,no,670,yes,no,cellular,12,may,1,0,other,yes
25,secondary,no,801,no,no,cellular,5,jun,2,0,other,yes
40,tertiary,no,2763,yes,no,cellular,2,jul,1,2,success,yes
52,primary,no,618,yes,yes,cellular,10,aug,2,2,failure,no
51,tertiary,no,469,no,no,cellular,15,apr,1,2,success,yes
41,secondary,no,3234,yes,no,cellular,30,jan,1,0,other,yes
49,secondary,no,1684,no,yes,cellular,1,jun,2,0,other,yes
31,secondary,no,2083,yes,no,cellular,4,may,3,2,other,no
34,secondary,no,369,no,no,cellular,2,aug,3,4,failure,yes
40,unknown,no,-516,yes,no,cellular,8,may,1,2,failure,no
59,secondary,no,493,no,no,cellular,30,apr,1,0,other,yes
60,secondary,no,18967,yes,no,cellular,29,jan,2,0,other,yes
72,secondary,no,4269,no,no,telephone,16,apr,3,0,other,no
31,secondary,no,0,yes,no,cellular,17,apr,2,0,other,no
53,tertiary,no,37,no,no,cellular,28,aug,9,0,other,no
45,tertiary,no,226,yes,no,cellular,13,aug,6,10,success,yes
59,secondary,no,0,yes,no,cellular,10,jul,1,0,other,yes
37,secondary,no,1707,yes,no,cellular,26,jul,2,3,failure,yes
53,unknown,no,6921,yes,no,cellular,19,nov,3,2,other,no
33,secondary,no,2147,no,no,cellular,7,sep,1,1,other,no
32,secondary,no,34,yes,no,cellular,5,may,2,0,other,no
37,secondary,no,981,no,no,cellular,7,jul,2,1,success,yes
28,tertiary,no,1808,no,no,cellular,30,apr,1,0,other,yes
31,secondary,no,181,no,no,cellular,13,nov,2,2,success,yes
41,primary,no,0,no,no,cellular,30,jul,2,0,other,yes
25,tertiary,no,760,yes,no,cellular,27,may,3,2,failure,yes
23,secondary,no,28,yes,no,cellular,17,apr,3,2,failure,no
47,tertiary,no,12026,yes,no,telephone,27,oct,1,0,other,yes
46,secondary,no,1187,no,yes,cellular,13,oct,1,1,failure,no
30,secondary,no,618,no,no,cellular,21,nov,6,0,other,no
26,primary,no,595,yes,yes,cellular,18,may,3,0,other,no
29,tertiary,no,1441,yes,no,cellular,4,feb,2,0,other,yes
39,secondary,no,391,no,yes,cellular,30,jul,4,0,other,yes
49,tertiary,no,6574,no,no,cellular,8,jun,3,0,other,yes
34,tertiary,yes,621,no,no,cellular,28,aug,3,0,other,no
32,secondary,no,116,yes,no,cellular,20,aug,2,0,other,yes
25,unknown,no,349,yes,no,cellular,22,jul,8,0,other,yes
34,tertiary,no,1798,yes,no,cellular,13,may,3,0,other,no
36,secondary,no,0,yes,no,cellular,15,may,4,0,other,yes
49,secondary,no,1623,yes,no,cellular,19,nov,2,0,other,yes
28,secondary,no,-25,yes,no,cellular,5,may,2,0,other,no
41,secondary,no,0,yes,no,cellular,6,apr,4,0,other,no
27,primary,no,1535,yes,no,cellular,15,may,1,0,other,no
40,tertiary,no,1308,no,no,telephone,3,feb,2,0,other,yes
61,tertiary,no,267,no,no,cellular,20,apr,1,0,other,yes
35,secondary,no,0,no,no,cellular,18,nov,1,0,other,no
27,secondary,no,-400,no,yes,cellular,8,jul,1,0,other,no
26,secondary,no,101,yes,no,cellular,5,feb,1,1,failure,yes
59,secondary,no,201,no,no,cellular,5,feb,1,7,other,no
32,tertiary,no,386,yes,no,cellular,18,nov,1,0,other,yes
39,tertiary,no,3840,yes,no,cellular,11,aug,2,0,other,yes
48,secondary,no,501,yes,no,cellular,15,may,5,0,other,no
57,primary,no,2785,no,no,cellular,11,aug,4,0,other,yes
44,tertiary,no,1090,no,no,cellular,20,oct,4,6,success,yes
33,secondary,no,315,yes,no,cellular,18,may,3,2,other,no
32,secondary,no,11512,yes,no,cellular,20,nov,1,1,failure,no
28,secondary,no,313,no,no,cellular,9,feb,2,0,other,yes
36,secondary,no,-53,yes,no,cellular,20,apr,5,8,other,no
46,primary,no,2023,yes,no,cellular,21,nov,1,0,other,no
47,secondary,no,392,yes,yes,cellular,19,nov,1,0,other,no
46,secondary,no,70,yes,no,cellular,27,mar,2,0,other,yes
31,tertiary,no,0,yes,yes,cellular,11,jul,2,0,other,no
58,unknown,no,68,no,no,cellular,2,apr,1,0,other,yes
36,unknown,no,62,no,no,cellular,13,jul,1,2,success,yes
33,secondary,no,379,yes,yes,cellular,16,jun,2,0,other,yes
54,primary,no,1319,yes,no,telephone,23,jul,2,0,other,no
33,secondary,no,705,yes,no,cellular,14,may,2,0,other,no
36,secondary,no,1331,yes,no,cellular,13,may,3,1,other,no
44,tertiary,no,3603,yes,no,cellular,18,nov,1,0,other,no
31,secondary,no,-254,yes,no,cellular,15,may,2,0,other,no
24,secondary,no,556,yes,no,cellular,18,aug,2,0,other,yes
43,secondary,no,214,yes,no,telephone,17,apr,2,24,failure,no
45,tertiary,no,6542,yes,no,cellular,13,aug,4,0,other,no
36,tertiary,no,1400,yes,no,cellular,11,may,3,0,other,yes
46,tertiary,no,0,no,no,cellular,20,nov,1,1,failure,yes
58,secondary,no,-382,no,no,cellular,31,jul,12,0,other,yes
40,secondary,no,275,yes,no,cellular,1,feb,2,0,other,no
40,secondary,no,280,yes,no,cellular,8,may,2,3,failure,no
34,secondary,no,1614,yes,no,cellular,15,may,2,1,other,no
76,primary,no,2223,no,no,telephone,4,feb,1,0,other,yes
34,secondary,no,-271,yes,yes,cellular,2,feb,1,2,failure,no
26,tertiary,no,17,no,yes,cellular,11,jul,1,0,other,no
36,tertiary,no,943,no,no,cellular,20,nov,3,0,other,no
48,secondary,no,547,no,no,cellular,28,jan,1,2,failure,no
34,primary,no,2320,yes,no,cellular,18,nov,1,0,other,no
46,tertiary,no,4693,no,yes,cellular,7,aug,1,2,failure,yes
44,secondary,no,0,yes,no,cellular,2,feb,1,1,failure,yes
